High,Volume,Low,Date,Close,Market Cap,Open,Name
0.036894,"14,782,600",0.034932,04/08/17,0.035849,"1,363,900,000",0.036355,Ripple
0.036935,"36,825,000",0.030789,04/07/17,0.036319,"1,228,290,000",0.03274,Ripple
0.036843,"48,264,600",0.029463,04/06/17,0.032665,"1,338,210,000",0.035672,Ripple
0.040178,"42,360,300",0.035214,04/05/17,0.035544,"1,402,530,000",0.037386,Ripple
0.040702,"78,538,100",0.028324,04/04/17,0.037455,"1,239,170,000",0.033032,Ripple
0.061594,"155,550,000",0.027447,04/03/17,0.033023,"2,261,800,000",0.060291,Ripple
0.071441,"230,622,000",0.021696,04/02/17,0.061159,"820,232,000",0.021938,Ripple
0.022798,"30,657,700",0.019664,04/01/17,0.021892,"812,963,000",0.021743,Ripple
0.021776,"72,699,400",0.013049,03/31/17,0.020889,"487,885,000",0.013049,Ripple
0.014126,"19,821,800",0.010125,03/30/17,0.013276,"378,563,000",0.010125,Ripple
0.010101,"3,344,230",0.00952,03/29/17,0.010101,"356,171,000",0.009526,Ripple
0.009644,"3,111,280",0.00928,03/28/17,0.009514,"357,724,000",0.009568,Ripple
0.010053,"6,336,150",0.009155,03/27/17,0.009597,"354,514,000",0.009482,Ripple
0.00984,"5,475,230",0.009079,03/26/17,0.009545,"342,448,000",0.009159,Ripple
0.010711,"11,334,900",0.00904,03/25/17,0.009116,"392,674,000",0.010502,Ripple
0.010825,"24,493,700",0.009135,03/24/17,0.010518,"393,620,000",0.010528,Ripple
0.010582,"12,315,100",0.007258,03/23/17,0.010582,"271,965,000",0.007284,Ripple
0.00746,"4,652,530",0.006882,03/22/17,0.007301,"257,915,000",0.006908,Ripple
0.007075,"3,021,440",0.006792,03/21/17,0.006909,"261,234,000",0.006996,Ripple
0.007112,"3,423,710",0.006761,03/20/17,0.006975,"258,208,000",0.006915,Ripple
0.007198,"4,241,970",0.006556,03/19/17,0.006912,"251,511,000",0.006736,Ripple
0.007396,"7,223,300",0.006118,03/18/17,0.00671,"229,142,000",0.006137,Ripple
0.006406,"3,442,010",0.00597,03/17/17,0.006116,"239,193,000",0.006406,Ripple
0.006409,"3,860,210",0.006213,03/16/17,0.006394,"235,622,000",0.006319,Ripple
0.0065,"1,376,090",0.006301,03/15/17,0.006314,"237,552,000",0.00637,Ripple
